,user,text,favorite_count,retweet_count,create_at
58,WilliamsRuto,"We also appreciate President Salva Kiir’s special message recognising Kenya’s support in seeking solutions to emerging challenges in South Sudan, search for durable peace and in delivering humanitarian assistance to the affected communities.",466,59,2023-01-02 13:05:07+00:00
59,WilliamsRuto,We committed to hold a special IGAD Summit focusing on South Sudan before the end of this month to assess the status of implementation of the “Revitalised Agreement on the Resolution of the Conflict in the Republic of South Sudan” and address any emerging issues.,474,64,2023-01-02 13:05:06+00:00
60,WilliamsRuto,"In his capacity as the Chairperson of the IGAD Assembly of Heads of State and Government, we further deliberated about the security situation in the Eastern Africa region, and specifically in South Sudan.",309,37,2023-01-02 13:05:05+00:00
61,WilliamsRuto,Received a call from the President of Sudan Abdel Fattah Al-Burhan where we discussed relations between our two countries.,3443,271,2023-01-02 13:05:05+00:00
62,WilliamsRuto,"I pray to God to give his family, friends and the Nubian community the strength to bear the loss. May his soul rest in eternal peace.",403,41,2023-01-02 10:04:15+00:00
63,WilliamsRuto,"We mourn with the Nubian Community following the passing of Issa Abdul Faraj. Mr Faraj, who served as the chairman of the Council of Elders, was a pillar of the community. He leaves behind a solid legacy in championing for land rights in Kibra and Kibos. https://t.co/mzos7J7WOw",1283,146,2023-01-02 10:04:15+00:00
64,WilliamsRuto,"Joined worshippers for Sunday service at Siloam Ministry, Bamburi, Mombasa County. https://t.co/xk7qvvXfk9",670,54,2023-01-01 10:40:19+00:00
65,WilliamsRuto,"“The Lord’s loving kindnesses indeed never cease, for His compassions never fail. They are new every morning; great is Your faithfulness.” — Lamentations 3:22-23 https://t.co/MX3gj81rWA",1686,181,2023-01-01 10:40:18+00:00
66,WilliamsRuto,"New Year Sunday Service, Siloam Ministry, Bamburi, Mombasa County https://t.co/Yx7lOpQhyP",946,117,2023-01-01 08:06:43+00:00
67,WilliamsRuto,https://t.co/oFYHZ81foc,12114,1066,2022-12-31 21:04:06+00:00
68,WilliamsRuto,"Ushering in The New Year, State House, Mombasa. https://t.co/e328O8q9Ac",836,138,2022-12-31 19:10:39+00:00
69,WilliamsRuto,"Ushering in The New Year, State House, Mombasa. https://t.co/CWOZ7UqPnp",1517,200,2022-12-31 17:28:11+00:00
70,WilliamsRuto,"After becoming the first Pope to retire in six centuries, his legacy underscores for the benefit of present and future leaders that service and institutions always come before the individual, regardless of their rank or status.",386,51,2022-12-31 12:42:56+00:00
71,WilliamsRuto,"As a quiet and gentle leader, the late Pope Benedict XVI astutely applied his vast intellectual stature to shepherd the church through a delicate new millennium and served with great moral clarity in an era full of unprecedented challenges.",372,50,2022-12-31 12:42:55+00:00
72,WilliamsRuto,"It is with great sorrow that I join the Catholic Faithful and the global community at large in mourning the death of Pope Emeritus Benedict XVI. 

His death marks the end of a truly great life, and the passing of a towering theologian and a steadfast servant of the church. https://t.co/vCBwzFycOE",2525,290,2022-12-31 12:42:54+00:00
73,WilliamsRuto,"Let us therefore celebrate the life of a talented pioneer who famously excelled in her profession, entrancing the nation with her talent and extraordinary poise.

I pray that God comforts her family in this time of mourning and that her soul rests in eternal peace.",379,50,2022-12-30 08:03:50+00:00
74,WilliamsRuto,"Countless Kenyans watched her with great admiration and many children grew to emulate her. Today, Kasavuli's legacy endures, most notably in a distinctive crisp, fluent and articulate elocution we are all accustomed to in broadcast anchoring.",444,51,2022-12-30 08:03:47+00:00
75,WilliamsRuto,"Her pleasant smile, clear steady voice, and elegance made her a welcome presence and reassuring bearer of news to Kenyan living rooms for decades.",276,24,2022-12-30 08:03:44+00:00
76,WilliamsRuto,"It is with great sorrow that I join Kenyans in mourning the passing of Catherine Kasavuli who died Thursday night at 60, after a long brave fight with cancer.

Catherine was a cheerful, articulate and intelligent news anchor who took to television with unprecedented flair. https://t.co/olNjWMiBQ8",3012,316,2022-12-30 08:03:42+00:00
